rpm,terminal_state,passed,stop_reason,completed_cycles,integration_seconds,accepted_steps,rejected_steps,max_consecutive_rejections,minimum_step_deg,W_C_J_per_cycle,pmax_Pa,indicated_power_W,indicated_torque_Nm,worst_independent_balance,metrics_status,run_id,manifest_path,scientific_sha256,classification,wall_seconds
2500,PASS,True,convergencia: tres ciclos consecutivos,10,13.640000000596046,30342,197,5,0.00103756773501118,16.209291803030894,1306559.7675358364,675.3871584596205,2.5797889144713073,6.649575645223834e-06,accepted,20260917T151222-P0-e7c30e109458,artifacts/points/2500.json,789d808d5807fbec51ecb90f683670b7036be7449e2665393d445a9ca462eb33,MAIN_2T_DOMAIN,13.890999999828637
3000,PASS,True,convergencia: tres ciclos consecutivos,10,13.390999999828637,30050,191,6,0.0023481572446115706,16.49050751206088,1331530.846070603,824.525375603044,2.624545784638522,4.459656622212729e-06,accepted,20260917T151222-P0-e7c30e109458,artifacts/points/3000.json,025bd395996ebedc6997d95e5b420d9d8a4f8813d2851edfa8a0ebe1e1062662,MAIN_2T_DOMAIN,13.640999999828637
3500,PASS,True,convergencia: tres ciclos consecutivos,9,11.89100000075996,27168,119,5,0.0015409254640417203,16.41749289193312,1347664.4379893804,957.6870853627653,2.612925146927212,3.6432459218768503e-06,accepted,20260917T151222-P0-e7c30e109458,artifacts/points/3500.json,f0c4c889bd54f7470237f8c8146cb2dda7d0ecde3f7141f03cd44f96ceab2988,MAIN_2T_DOMAIN,12.156000000424683
4000,PASS,True,convergencia: tres ciclos consecutivos,9,12.171999999321997,27066,114,4,0.0027606373696471564,16.11260859816891,1359153.965620638,1074.1739065445943,2.5644013045035567,1.779008547660059e-06,accepted,20260917T151222-P0-e7c30e109458,artifacts/points/4000.json,ffbb915ea21247fb203735d9e65fbf5cbeeb44fc46460867a4b6ea64f3765bec,MAIN_2T_DOMAIN,12.421999999321997
4500,PASS,True,convergencia: tres ciclos consecutivos,10,13.531999999657273,29964,81,5,0.001115066035140444,15.712400982310108,1369800.5930456328,1178.430073673258,2.5007062841766055,3.2747041030405304e-06,accepted,20260917T151222-P0-e7c30e109458,artifacts/points/4500.json,1ad8533f0fb93e44d20be36594fcafddef8d1aa8a68e5cb220394028e91d32e7,MAIN_2T_DOMAIN,13.796999999321997
5000,PASS,True,convergencia: tres ciclos consecutivos,10,13.42200000025332,29856,38,4,0.0010109617564921791,15.309001494870492,1381589.028652405,1275.750124572541,2.436503261709854,3.043833075911701e-06,accepted,20260917T151222-P0-e7c30e109458,artifacts/points/5000.json,434a5ae4dd466091bf479a4b568f3ca7d98020e89e66276ebe2d46f518b439cd,MAIN_2T_DOMAIN,13.67200000025332
5500,PASS,True,convergencia: tres ciclos consecutivos,10,13.078000000678003,29678,33,4,0.0020511740086845975,14.897562775265742,1393801.6946566028,1365.6099210660263,2.3710207557053575,2.14514518388841e-06,accepted,20260917T151222-P0-e7c30e109458,artifacts/points/5500.json,5af78df620a04ec18780be026fbcceae0e3131cffd0fbf79f3363f90e1e5716d,MAIN_2T_DOMAIN,13.328000000678003
6000,PASS,True,convergencia: tres ciclos consecutivos,10,13.343999999575317,29748,45,4,0.0016269999457563245,14.490090829830388,1406261.0082809743,1449.0090829830388,2.30616958141805,2.8172916279376057e-06,accepted,20260917T151222-P0-e7c30e109458,artifacts/points/6000.json,4ded9cba315e0b4270aacc9240dcd8dbccf2a103f7bc5e92033d8d2ddeff9c13,MAIN_2T_DOMAIN,13.578999999910593
6500,PASS,True,convergencia: tres ciclos consecutivos,10,13.42200000025332,29680,43,5,0.0021925255927612852,14.091762307403433,1418753.993291467,1526.6075833020386,2.242773628099309,2.309016443114971e-06,accepted,20260917T151222-P0-e7c30e109458,artifacts/points/6500.json,f030bf6af785d40b2e85d1e42319a10faef3c52716155ff617d25bba7e34b15e,MAIN_2T_DOMAIN,13.703000000678003
7000,PASS,True,convergencia: tres ciclos consecutivos,11,14.640999999828637,32580,50,6,0.0010187619582211482,13.694361338937364,1430762.831056884,1597.6754895426925,2.1795252995784278,3.564298680750471e-06,accepted,20260917T151222-P0-e7c30e109458,artifacts/points/7000.json,79b2c8afe22931d99ae07d77d065d7c957fd5ce5bc49fed2f30f830329f79ede,MAIN_2T_DOMAIN,14.906999999657273
